T [20260828 150615][3.573] CQ YOURCALL CM87 1763
T [20260828 150645][3.573] CQ YOURCALL CM87 1046
T [20260828 150715][3.573] CQ YOURCALL CM87 2287
T [20260828 150745][3.573] CQ N6HAN CM87 1833
R [20260828 150812][3.573] N6HAN AG6AQ CM97 50 1500
T [20260828 150815][3.573] AG6AQ N6HAN +50 2112
R [20260828 150842][3.573] N6HAN AG6AQ R-07 10 1500
T [20260828 150845][3.573] AG6AQ N6HAN RR73 1904
R [20260828 150912][3.573] N6HAN AG6AQ 73 21 1500
T [20260828 150915][3.573] CQ N6HAN CM87 2054
R [20260828 193859][14.074] KE8YTP W5TRL R-16 -2 1269
R [20260828 193859][14.074] K1CXW KF0MZU DM79 0 1638
R [20260828 193859][14.074] CQ N1PRR DM33 -8 600
R [20260828 193859][14.074] CQ KK7MEH CN87 -4 1769
R [20260828 193914][14.074] N1PRR W9MDM EN61 30 600
R [20260828 193914][14.074] CQ WA7PVE CN87 -8 1694
R [20260828 193914][14.074] K5DXB VE6AX -15 12 2269
R [20260828 193914][14.074] CQ POTA W0SS EM28 8 1775
R [20260828 193914][14.074] KA0SOC KE4PLU R-17 0 1212
R [20260828 193914][14.074] CQ NF3R FN20 3 1962
R [20260828 193915][14.074] N7NZH N5FMP -13 -10 1581
R [20260828 193915][14.074] DF4FS K1CXW -18 6 1344
R [20260828 193929][14.074] KE8YTP W5TRL R-17 7 1269
R [20260828 193929][14.074] NO0X WV0Q R+02 11 331
R [20260828 193929][14.074] CQ K4YT FM19 -6 2738
R [20260828 193929][14.074] N8DPD KB7ZTI CN88 36 1031
R [20260828 193929][14.074] CQ W7KR DN17 20 1569
R [20260828 193929][14.074] CQ K0DTM EN34 8 2194
R [20260828 193929][14.074] VE6AX K5DXB R-15 0 2269
R [20260828 193930][14.074] ZB2FTY KC8FGL EN72 -8 1694
R [20260828 193930][14.074] W9MDM N1PRR +10 6 600
R [20260828 193930][14.074] N8DPD AA5HH EM21 6 1175
R [20260828 193930][14.074] N8DPD K0BHB EN34 16 688
R [20260828 193930][14.074] RI1FJL VE3OP FN25 2 1350
R [20260828 193944][14.074] WV0Q NO0X RR73 3 2319
R [20260828 193944][14.074] K5DXB VE6AX RR73 -4 2269
R [20260828 193944][14.074] N1PRR W9MDM R-12 22 600
R [20260828 193945][14.074] CQ NF3R FN20 -6 1962
R [20260828 193945][14.074] VA7GEM WV4F EM72 1 388
R [20260828 193945][14.074] CQ WA7PVE CN87 42 1694
R [20260828 193945][14.074] N7NZH N5FMP -13 6 1581
R [20260828 193945][14.074] KA0SOC KE4PLU 73 -6 1212
R [20260828 193946][14.074] CQ W8MPY EN73 -2 2612
R [20260828 193959][14.074] NO0X WV0Q 73 28 338
R [20260828 194000][14.074] KE8YTP W5TRL 73 0 1269
R [20260828 194000][14.074] W0SS W0ADE +15 -4 831
R [20260828 194000][14.074] CQ K4YT FM19 2 2731
R [20260828 194000][14.074] CQ W7KR DN17 8 1569
R [20260828 194000][14.074] CQ K0DTM EN34 2 2194
R [20260828 194000][14.074] W0SS N0RC EM29 2 2506
R [20260828 194000][14.074] W9MDM N1PRR RR73 0 600
R [20260828 194000][14.074] W0SS KI7DAN DN40 24 2388
R [20260828 194000][14.074] CQ KK7MEH CN87 6 1769
R [20260828 194000][14.074] VE6AX K5DXB 73 -6 2269
R [20260828 194001][14.074] K0WML W0RW 73 2 1862
R [20260828 194001][14.074] N8DPD AA5HH EM21 12 1175
R [20260828 194001][14.074] N8DPD K0BHB EN34 16 688
R [20260828 194027][14.074] W0SS W0ADE +15 18 838
R [20260828 194027][14.074] W0SS WV0Q DN70 6 331
R [20260828 194028][14.074] CQ K4YT FM19 2 2731
R [20260828 194028][14.074] W0SS KI7DAN DN40 -8 2388
R [20260828 194028][14.074] CQ K0DTM EN34 2 2194
R [20260828 194028][14.074] CQ KK7MEH CN87 6 1769
R [20260828 194028][14.074] CQ N1PRR DM33 6 600
R [20260828 194028][14.074] N8DPD W0RW DM78 10 1862
R [20260828 194029][14.074] ZB2FTY KC8FGL EN72 1 1694
R [20260828 194029][14.074] N8DPD KB7ZTI CN88 12 1025
R [20260828 194029][14.074] RI1FJL VE3OP FN25 6 1350
R [20260828 194042][14.074] VA3TS W0SS RR73 4 1781
R [20260828 194042][14.074] W9WHF WA7PVE -11 12 1688
R [20260828 194043][14.074] K8ACC NO0X 73 4 2319
R [20260828 194043][14.074] K5WVF AC0DH EN34 5 794
R [20260828 194043][14.074] CQ N5FMP EM05 6 1581
R [20260828 194043][14.074] CQ N8PFK EN74 -6 2025
R [20260828 194043][14.074] AR2GGO KJ5MPL R-12 2 725
R [20260828 194043][14.074] VA7GEM WV4F EM72 8 388
R [20260828 194044][14.074] KC3AK KA4KBX EM73 7 938
R [20260828 194044][14.074] M1DBW AA3B 73 6 569
T [20260828 194100][14.074] CQ N6HAN CM87 1916
R [20260828 194127][14.074] N1GKX W7KR -19 10 1569
R [20260828 194127][14.074] W1TF W5TRL R-09 14 1269
R [20260828 194128][14.074] W0SS WV0Q DN70 16 338
R [20260828 194128][14.074] K0WLY KK7MEH CN87 4 1769
R [20260828 194128][14.074] CQ KI5YNZ EM44 9 1019
R [20260828 194128][14.074] W0SS W0ADE +15 2 838
R [20260828 194128][14.074] K0WML K7EBO DN31 12 2244
R [20260828 194128][14.074] AI5OS K4YT RR73 2 2731
R [20260828 194128][14.074] K1CXW KF0MZU DM79 0 1638
R [20260828 194129][14.074] W8MPY KB5YNF EM45 10 1494
R [20260828 194129][14.074] RI1FJL VE3OP FN25 8 1350
R [20260828 194129][14.074] W0SS N0RC EM29 2 2506
T [20260828 194130][14.074] CQ N6HAN CM87 2189
R [20260828 194157][14.074] W1TF W5TRL 73 -2 1269
R [20260828 194157][14.074] CQ K4YT FM19 6 2731
R [20260828 194158][14.074] K0WML K7EBO R-02 -6 2244
R [20260828 194158][14.074] KE9AEY KI5YNZ -08 4 1019
R [20260828 194158][14.074] N6MTX K1AF -17 1 2312
R [20260828 194158][14.074] W0SS KI7DAN 73 8 2388
R [20260828 194158][14.074] K0WLY KK7MEH CN87 8 1769
R [20260828 194158][14.074] <...> VA3ZYW EO31 -7 1681
R [20260828 194159][14.074] RI1FJL VE3OP FN25 4 1350
R [20260828 194159][14.074] W0SS N0RC EM29 8 2506
T [20260828 194200][14.074] CQ N6HAN CM87 2358
R [20260828 194227][14.074] CQ K4YT FM19 1 2738
R [20260828 194228][14.074] CQ W7KR DN17 10 1556
R [20260828 194228][14.074] K0WML K7EBO 73 -4 2244
R [20260828 194228][14.074] Z62NS K0SH EN23 4 1862
R [20260828 194228][14.074] N8DPD W0RW DM78 12 1144
R [20260828 194228][14.074] CQ W0ADE DN40 16 838
R [20260828 194228][14.074] K1CXW KF0MZU DM79 2 1638
R [20260828 194228][14.074] N8DPD KI7DAN DN40 1 2394
R [20260828 194228][14.074] RI1FJL VE3OP FN25 3 1350
R [20260828 194228][14.074] N6MTX K1AF -17 -2 2312
